time,x,y,z
6.5600553,4.432219,2.686569,6.3256426
6.5700555,4.373379,2.7061822,6.423709
6.5800557,4.3439593,2.7257955,6.698295
6.590056,4.3145394,2.7944422,6.953268
6.600056,4.3145394,2.9023154,7.0317216
6.6100564,4.324346,3.1769016,7.1199813
6.6200566,4.3439593,3.2357414,7.208241
6.630057,4.402799,3.2945814,7.306308
6.640057,4.4812527,3.304388,7.5612807
6.6500573,4.7656455,3.3632278,7.6691537
6.6600575,4.863712,3.382841,8.100647
6.670058,5.197138,3.4416811,8.355619
6.680058,5.275591,3.5299408,8.463492
6.690058,5.363851,3.6280074,8.56156
6.7000585,5.4619174,3.9124002,8.836145
6.7100587,5.4815307,3.9320135,8.836145
6.720059,5.4815307,4.0104666,8.845952
6.730059,5.412884,4.0791135,8.845952
6.7400594,5.412884,4.1379533,8.826339
6.7500596,5.648244,4.1575665,8.8067255
6.76006,6.0503163,4.1575665,8.8067255
6.77006,6.619102,4.0791135,8.8067255
6.7800603,7.2075014,4.0104666,9.228412
6.7900605,7.70764,4.0104666,10.150237
6.8000607,8.041066,4.0104666,11.052448
6.810061,8.1391325,3.9516268,11.886014
6.820061,8.1391325,3.7162673,12.572479
6.8300614,7.835127,3.4809077,13.033392
6.8400617,7.3349876,3.2259347,13.053005
6.850062,6.6387153,3.1572883,13.033392
6.860062,5.9130235,2.9219286,12.513639
6.8700624,5.197138,2.9219286,12.0135
6.8800626,4.5989323,2.8336687,11.2583885
6.890063,4.1380196,2.5688891,10.6994095
6.900063,4.0595665,2.461016,10.267917
6.9100633,4.0595665,2.0785568,9.924684
6.9200635,4.412606,1.7843571,9.895264
6.9300637,4.8244853,1.6764839,9.836424
6.940064,5.246171,1.4411243,9.807004
6.950064,5.648244,1.4411243,9.532417
6.9600644,6.0405097,1.4607376,9.287251
6.9700646,6.315096,1.5489975,9.002858
6.980065,6.3739357,1.6078373,8.924405
6.990065,6.383743,1.6274507,8.816532
7.0000653,6.3543224,1.647064,8.708659
7.0100656,6.079736,1.6666772,8.610593
7.020066,5.8247633,1.6862906,8.345813
7.030066,5.4913373,1.7059039,8.081034
7.0400662,5.1775246,1.7059039,7.718187
7.0500665,4.8244853,1.7059039,7.374954
7.0600667,4.4910593,1.7059039,6.8944283
7.070067,4.216473,1.7059039,6.4040956
7.080067,3.9713066,1.7059039,5.9726033
7.0900674,3.7359471,1.7157105,5.609757
7.1000676,3.6476872,1.7255172,5.227298
7.110068,3.539814,1.7255172,4.893872
7.120068,3.3044543,1.7255172,4.5898657
7.1300683,3.2456145,1.7843571,4.3348927
7.1400685,3.2260013,1.8039703,4.305473
7.1500688,3.2260013,1.8235837,4.2172127
7.160069,3.2260013,1.843197,4.1975994
7.170069,3.3044543,1.9118435,4.1975994
7.1800694,3.569234,1.9314568,4.1975994
7.1900697,3.6574938,2.00991,4.1975994
7.20007,3.9615,2.0785568,4.432959
